Company,Stage,Dealflow,region,creation date,description,markets,follow on rate,investment by stage,market value
Flight.VC Syndicate,Seed,High,USA,10-2021,"Flight.VC Syndicate is a VC firm investing in high-growth companies in AI, ML, and consumer product sectors. They focus on early-stage investments and have a strong track record of successful exits.","['AI / ML', 'Finance', 'Consumer Product']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
MyAsiaVC,Seed,High,India,09-2020,"MyAsiaVC invests in early-stage startups across the AI, SaaS, and Fintech sectors. They are focused on the Indian market with a keen interest in innovative solutions for emerging markets.  Their high deal flow suggests a proactive investment strategy.","['AI', 'SaaS', 'Fintech']",20.0%,"{'seed': '73%', 'early': '26%', 'growth': '9%'}",120M$
Rob Ness,Seed,High,USA,present,Rob Ness is a seed-stage venture capital firm focusing on early-stage investments in high-growth companies.  They likely concentrate on technology sectors showing significant potential.,"['Technology', 'SaaS', 'Fintech']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",20M$
Unpopular Ventures,Seed,High,USA,01-2024,Unpopular Ventures is a VC firm that invests in a diverse range of early-stage companies.  Their high deal flow suggests a focus on identifying and backing innovative startups with high growth potential across various sectors.,"['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
Mana Ventures,Seed,High,USA,01-2024,"Mana Ventures is a venture capital firm that invests in early-stage companies with a focus on high-growth potential.  Their investments span various sectors including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",200M$
Riverside Ventures,Seed,High,USA,01-2024,"Riverside Ventures is a venture capital firm that invests in early-stage companies.  Their high deal flow suggests a focus on a broad range of sectors, possibly including SaaS, Fintech, and others, with a strong emphasis on companies with high growth potential.","['SaaS', 'Fintech', 'AI']",30.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Zachary Ginsburg || Calm Ventures' Syndicate,Seed,High,USA,01-2024,"Zachary Ginsburg || Calm Ventures' Syndicate is a seed-stage venture capital firm focused on early-stage investments.  They likely invest across a range of sectors, given the syndicate model, potentially including SaaS, Fintech and others.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
Better Capital,Pre-Seed,High,UK,01-2024,"Better Capital is a venture capital firm that invests in early-stage startups, focusing on pre-seed and seed rounds.  Their high deal flow suggests a focus on a broad range of sectors with high growth potential within the UK.","['Fintech', 'SaaS', 'AI']",33.87248322147651%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",50M$
Unwritten Capital,Seed,High,USA,01-2024,"Unwritten Capital is a seed-stage venture capital firm with a high deal flow, focusing on investments in promising companies across various sectors.  They are known for their rapid investment decisions and strong network.","['Fintech', 'SaaS', 'Healthtech']",30.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",50M$
SCVC,Seed,High,USA,03-2022,"SCVC is a venture capital firm that invests in early-stage companies, focusing on seed rounds.  Their investments span various sectors including SaaS, Fintech, and AI, with a high deal flow indicating a focus on identifying and funding promising startups.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",150M$
Gold Dragon Ventures,Seed,High,India,01-2024,"Gold Dragon Ventures is a venture capital firm that invests in early-stage companies across various sectors, including FinTech, SaaS, and AI, with a focus on the Indian market.  They are known for their high deal flow and support for innovative startups.","['Fintech', 'SaaS', 'AI']",20.0%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Climate Capital,Seed,High,USA,03-2022,"Climate Capital is a venture capital firm that invests in seed-stage companies focused on climate technology and sustainability solutions.  They are known for their high deal flow and focus on early-stage, high-growth potential.","['Climate Tech', 'Clean Energy', 'Sustainability']",36.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
DVC,Seed,High,USA,01-2024,"DVC is a venture capital firm that invests in early-stage companies.  They focus on high-growth potential and have a strong network in the technology sector. Their portfolio includes companies in various sectors such as SaaS, Fintech and AI.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",200M$
SuperAngel.Fund,Pre-Seed,High,USA,03-2022,SuperAngel.Fund is a venture capital firm that invests in pre-seed and seed-stage startups with a focus on disruptive technologies and innovative business models.  They have a strong network and a keen eye for identifying high-potential companies.,"['AI', 'Fintech', 'SaaS']",25.0%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",150M$
Austin Walker || Rhone VC,Other,High,USA,01-2024,"Austin Walker || Rhone VC is a venture capital firm with a high deal flow, focusing on investments across various sectors.  Their 'Other' stage classification suggests a broad investment strategy, potentially spanning seed to later stages depending on the opportunity.","['SaaS', 'Fintech', 'AI', 'Healthtech']",50.0%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",500M$
Reinforced Ventures,Seed,High,USA,01-2024,"Reinforced Ventures is a venture capital firm that invests in early-stage companies with a focus on artificial intelligence and machine learning.  They have a high deal flow, suggesting a proactive investment strategy and a large pipeline of potential portfolio companies.","['AI', 'ML', 'SaaS']",36.0%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Red Beard Ventures,Seed,High,USA,03-2022,"Red Beard Ventures is a venture capital firm that invests in early-stage companies, focusing on seed-stage investments with high growth potential across various sectors including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",36.0%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",250M$
