Company,Stage,Dealflow,region,creation date,description,markets,follow on rate,number of deals (12months),investment by stage,market value
Flight.VC Syndicate,Seed,High,USA,10-2021,"Flight.VC Syndicate is a VC firm investing in high-growth companies in AI, ML, and consumer product sectors. They focus on early-stage investments and have a strong track record of successful exits.","['AI / ML', 'Finance', 'Consumer Product']",36.0%,27.0,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
MyAsiaVC,Seed,High,India,09-2020,"MyAsiaVC invests in early-stage startups across the AI, SaaS, and Fintech sectors. They are focused on the Indian market with a keen interest in innovative solutions for emerging markets.","['AI', 'SaaS', 'Fintech']",20.0%,12.0,"{'seed': '73%', 'early': '26%', 'growth': '1%'}",100M$
Rob Ness,Seed,High,USA,03-2023,"Rob Ness is a seed-stage venture capital firm focusing on early-stage investments in high-growth potential companies.  They are known for their involvement in AI, Fintech, and SaaS sectors.","['AI', 'Fintech', 'SaaS']",36.0%,22.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",185M$
Unpopular Ventures,Seed,High,USA,03-2023,"Unpopular Ventures is a new VC firm focusing on seed-stage investments in innovative companies across various sectors, including SaaS, Fintech, and AI.  They have a high deal flow, suggesting an active investment strategy.","['SaaS', 'Fintech', 'AI']",20.0%,25.0,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",150M$
Mana Ventures,Seed,High,USA,07-2022,"Mana Ventures is a venture capital firm that invests in seed-stage startups.  They focus on a variety of sectors, with a particular interest in high-growth potential.","['AI', 'Fintech', 'SaaS']",30.0%,22.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Riverside Ventures,Seed,High,USA,03-2022,"Riverside Ventures is a venture capital firm that invests in early-stage companies.  Their focus is on seed-stage investments with high growth potential, spanning various sectors including SaaS, Fintech, and HealthTech.","['SaaS', 'Fintech', 'Healthtech']",30.0%,22.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Zachary Ginsburg || Calm Ventures' Syndicate,Seed,High,USA,01-2024,Zachary Ginsburg || Calm Ventures' Syndicate is a VC firm investing in high-growth companies. They focus on early-stage investments and have a strong track record of successful exits.,"['AI / ML', 'Fintech', 'SaaS']",36.0%,27.0,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
Better Capital,Pre-Seed,High,India,01-2021,"Better Capital is a prominent venture capital firm specializing in pre-seed investments, focusing on high-growth potential startups within the Indian technology landscape.  They concentrate on companies leveraging AI, Fintech, and SaaS technologies to address diverse market needs.","['AI', 'Fintech', 'SaaS']",15.0%,35.0,"{'seed': '10%', 'early': '20%', 'growth': '70%'}",150M$
Unwritten Capital,Seed,High,USA,06-2018,"Unwritten Capital focuses on investing in promising Seed-stage companies with diverse founders in the Fintech, SaaS, and Healthtech industries.  They have a high deal flow and a strong track record of successful early-stage investments.","['Fintech', 'SaaS', 'Healthtech']",36.0%,22.0,"{'seed': '85%', 'early': '10%', 'growth': '5%'}",150M$
SCVC,Seed,High,USA,03-2022,"SCVC is a venture capital firm that invests in early-stage companies.  They focus on seed-stage investments and have a strong interest in  high-growth potential across various sectors including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",30.0%,22.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",180M$
Gold Dragon Ventures,Seed,High,India,03-2022,"Gold Dragon Ventures is a venture capital firm that invests in early-stage startups across various sectors, with a particular focus on the Indian market.  They specialize in seed-stage funding and have a portfolio of high-growth potential companies.","['Fintech', 'SaaS', 'AI']",20.0%,25.0,"{'seed': '70%', 'early': '25%', 'growth': '5%'}",180M$
Climate Capital,Seed,High,USA,01-2024,Climate Capital is a venture capital firm that invests in seed-stage companies focused on climate technology solutions.  They have a high deal flow and are likely concentrated in the cleantech and sustainable energy sectors.,"['Cleantech', 'Renewable Energy', 'Sustainable Technology']",30.0%,25.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",200M$
DVC,Seed,High,USA,01-2022,DVC is a venture capital firm that invests in early-stage companies.  They focus on high-growth potential and have a strong network in the technology sector.,"['SaaS', 'Fintech', 'AI']",30.0%,22.0,"{'seed': '70%', 'early': '25%', 'growth': '5%'}",180M$
SuperAngel.Fund,Pre-Seed,High,USA,12-2024,SuperAngel.Fund is a pioneering company in SaaS.,"['AI', 'SaaS']",56.0%,22.0,"{'seed': '65%', 'early': '24%', 'growth': '11%'}",52$
Austin Walker || Rhone VC,Other,High,USA,01-2024,"Austin Walker || Rhone VC is a venture capital firm with a focus on diverse investment areas, characterized by its high deal flow.  They invest across various stages and sectors, demonstrating a broad investment strategy.","['SaaS', 'Fintech', 'Healthtech']",30.437908496732025%,35.0,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",300M$
Reinforced Ventures,Seed,High,USA,04-2022,"Reinforced Ventures is a venture capital firm that invests in early-stage companies. They focus on seed-stage investments and have a high deal flow, suggesting a focus on a broad range of sectors with high-growth potential.","['AI', 'SaaS', 'Fintech']",36.0%,25.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",200M$
Red Beard Ventures,Seed,High,USA,03-2022,"Red Beard Ventures is a venture capital firm that invests in early-stage companies.  They focus on seed-stage investments and have a high deal flow, suggesting a broad range of investments across various sectors.","['SaaS', 'Fintech', 'Healthtech']",36.0%,25.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",200M$
Allied Venture Partners,Seed,High,USA,01-2024,Allied Venture Partners is a venture capital firm that invests in early-stage companies.  Their focus is on high-growth potential in diverse sectors.,"['SaaS', 'Fintech', 'Healthtech']",35.0%,25.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",200M$
Palumni VC,Seed,High,USA,03-2022,"Palumni VC is a venture capital firm that invests in early-stage companies.  Their focus is on seed-stage investments, and they have a high deal flow, suggesting a broad range of portfolio companies and investment strategies.","['SaaS', 'Fintech', 'AI']",35.0%,25.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",200M$
Exitfund Ventures,Seed,High,USA,01-2024,Exitfund Ventures is a venture capital firm that invests in seed-stage companies.  They are known for their high deal flow and focus on promising startups.,"['SaaS', 'Fintech', 'AI']",36.0%,27.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",250M$
Middle Cove Capital,Seed+,High,USA,03-2022,"Middle Cove Capital is a venture capital firm that invests in seed and Series A startups. They focus on companies in the SaaS, Fintech, and AI sectors and have a strong network of mentors and advisors.","['SaaS', 'Fintech', 'AI']",36.0%,22.0,"{'seed': '60%', 'early': '30%', 'growth': '10%'}",185M$
Umami Capital,Seed,High,USA,03-2022,"Umami Capital is a venture capital firm that invests in seed-stage startups.  They focus on companies with high growth potential, particularly in the technology sector.","['SaaS', 'Fintech', 'AI']",25.0%,22.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Ventioneers,Other,High,Europe,01-2024,"Ventioneers is an investment firm focusing on companies beyond typical seed, Series A, or B stages.  They have a high deal flow, suggesting a broad investment strategy across various sectors.","['SaaS', 'Fintech', 'Healthtech']",30.437908496732025%,30.0,"{'seed': '10%', 'early': '20%', 'growth': '70%'}",500M$
Climate Capital Syndicate,Seed,High,USA,03-2022,Climate Capital Syndicate is a venture capital firm that invests in seed-stage startups focused on climate technology and sustainable solutions.  They are known for their high deal flow and focus on early-stage companies with high growth potential.,"['Cleantech', 'Renewable Energy', 'Sustainability']",36.0%,25.0,"{'seed': '70%', 'early': '25%', 'growth': '5%'}",200M$
Cool Climate Collective,Seed,High,USA,01-2024,"Cool Climate Collective is a seed-stage venture capital firm concentrating its investments in climate-focused technologies and sustainable solutions.  They are known for supporting early-stage, high-growth potential companies.","['Cleantech', 'Renewable Energy', 'Sustainability']",25.0%,20.0,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",150M$
Revere Partners,Series A,High,USA,03-2019,"Revere Partners is a venture capital firm that invests in Series A companies across various sectors, including SaaS, Fintech, and Healthcare.  They have a strong focus on high-growth potential and a proven track record of successful investments.","['SaaS', 'Fintech', 'Healthtech']",55.0%,21.0,"{'seed': '15%', 'early': '60%', 'growth': '25%'}",185M$
Engineering Leaders Community Angels,Seed,High,USA,03-2022,Engineering Leaders Community Angels is a VC firm investing in seed-stage companies.  They focus on engineering-led startups across various sectors with a high growth potential.,"['SaaS', 'AI', 'Fintech']",30.0%,21.0,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
