Company,Stage,Dealflow,company name,stage,dealsflow,region,creation date,description,markets,follow on rate,investment by stage,market value
Flight.VC Syndicate,Seed,High,Flight.VC Syndicate,Seed,High,USA,10-2021,"Flight.VC Syndicate is a VC firm investing in high-growth companies in AI, ML, and consumer product sectors. They focus on early-stage investments and have a strong track record of successful exits.","['AI / ML', 'Finance', 'Consumer Product']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
MyAsiaVC,Seed,High,MyAsiaVC,Seed,High,India,09-2020,"MyAsiaVC invests in early-stage startups across the AI, SaaS, and Fintech sectors. They are focused on the Indian market with a keen interest in innovative solutions for emerging markets.  Their high deal flow suggests a proactive investment strategy.","['AI', 'SaaS', 'Fintech']",20%,"{'seed': '73%', 'early': '26%', 'growth': '9%'}",120M$
Rob Ness,Seed,High,Rob Ness,Seed,High,USA,present,Rob Ness is a seed-stage venture capital firm focusing on early-stage investments in high-growth companies.  They likely concentrate on technology sectors showing significant potential.,"['Technology', 'SaaS', 'Fintech']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",20M$
Unpopular Ventures,Seed,High,Unpopular Ventures,Seed,High,USA,Present,Unpopular Ventures is a VC firm that invests in a diverse range of early-stage companies.  Their high deal flow suggests a focus on identifying and backing innovative startups with high growth potential across various sectors.,"['SaaS', 'Fintech', 'AI']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
Mana Ventures,Seed,High,Mana Ventures,Seed,High,USA,Present,"Mana Ventures is a venture capital firm that invests in early-stage companies with a focus on high-growth potential.  Their investments span various sectors including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",200M$
Riverside Ventures,Seed,High,Riverside Ventures,Seed,High,USA,Present,"Riverside Ventures is a venture capital firm that invests in early-stage companies.  Their high deal flow suggests a focus on a broad range of sectors, possibly including SaaS, Fintech, and others, with a strong emphasis on companies with high growth potential.","['SaaS', 'Fintech', 'AI']",30%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Zachary Ginsburg || Calm Ventures' Syndicate,Seed,High,Zachary Ginsburg || Calm Ventures' Syndicate,Seed,High,USA,Present,"Zachary Ginsburg || Calm Ventures' Syndicate is a seed-stage venture capital firm focused on early-stage investments.  They likely invest across a range of sectors, given the syndicate model, potentially including SaaS, Fintech and others.","['SaaS', 'Fintech', 'AI']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
Better Capital,Pre-Seed,High,Better Capital,Pre-Seed,High,UK,Present,"Better Capital is a venture capital firm that invests in early-stage startups, focusing on pre-seed and seed rounds.  Their high deal flow suggests a focus on a broad range of sectors with high growth potential within the UK.","['Fintech', 'SaaS', 'AI']",null,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",50M$
Unwritten Capital,Seed,High,Unwritten Capital,Seed,High,USA,Present,"Unwritten Capital is a seed-stage venture capital firm with a high deal flow, focusing on investments in promising companies across various sectors.  They are known for their rapid investment decisions and strong network.","['Fintech', 'SaaS', 'Healthtech']",30%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",50M$
SCVC,Seed,High,SCVC,Seed,High,USA,03-2022,"SCVC is a venture capital firm that invests in early-stage companies, focusing on seed rounds.  Their investments span various sectors including SaaS, Fintech, and AI, with a high deal flow indicating a focus on identifying and funding promising startups.","['SaaS', 'Fintech', 'AI']",36%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",150M$
Gold Dragon Ventures,Seed,High,Gold Dragon Ventures,Seed,High,India,Present,"Gold Dragon Ventures is a venture capital firm that invests in early-stage companies across various sectors, including FinTech, SaaS, and AI, with a focus on the Indian market.  They are known for their high deal flow and support for innovative startups.","['Fintech', 'SaaS', 'AI']",20%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",50M$
Climate Capital,Seed,High,Climate Capital,Seed,High,USA,03-2022,"Climate Capital is a venture capital firm that invests in seed-stage companies focused on climate technology and sustainability solutions.  They are known for their high deal flow and focus on early-stage, high-growth potential.","['Climate Tech', 'Clean Energy', 'Sustainability']",36%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
DVC,Seed,High,DVC,Seed,High,USA,Present,"DVC is a venture capital firm that invests in early-stage companies.  They focus on high-growth potential and have a strong network in the technology sector. Their portfolio includes companies in various sectors such as SaaS, Fintech and AI.","['SaaS', 'Fintech', 'AI']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",200M$
SuperAngel.Fund,Pre-Seed,High,SuperAngel.Fund,Pre-Seed,High,USA,03-2022,SuperAngel.Fund is a venture capital firm that invests in pre-seed and seed-stage startups with a focus on disruptive technologies and innovative business models.  They have a strong network and a keen eye for identifying high-potential companies.,"['AI', 'Fintech', 'SaaS']",25%,"{'seed': '80%', 'early': '15%', 'growth': '5%'}",150M$
Austin Walker || Rhone VC,Other,High,Austin Walker || Rhone VC,Other,High,USA,Present,"Austin Walker || Rhone VC is a venture capital firm with a high deal flow, focusing on investments across various sectors.  Their 'Other' stage classification suggests a broad investment strategy, potentially spanning seed to later stages depending on the opportunity.","['SaaS', 'Fintech', 'AI', 'Healthtech']",50%,"{'seed': '30%', 'early': '40%', 'growth': '30%'}",500M$
Reinforced Ventures,Seed,High,Reinforced Ventures,Seed,High,USA,Present,"Reinforced Ventures is a venture capital firm that invests in early-stage companies with a focus on artificial intelligence and machine learning.  They have a high deal flow, suggesting a proactive investment strategy and a large pipeline of potential portfolio companies.","['AI', 'ML', 'SaaS']",36%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Red Beard Ventures,Seed,High,Red Beard Ventures,Seed,High,USA,03-2022,"Red Beard Ventures is a venture capital firm that invests in early-stage companies, focusing on seed-stage investments with high growth potential across various sectors including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",250M$
Allied Venture Partners,Seed,High,Allied Venture Partners,Seed,High,USA,Present,"Allied Venture Partners is a venture capital firm that invests in early-stage companies across various sectors, including SaaS, Fintech, and AI.  They focus on seed-stage investments with high growth potential.","['SaaS', 'Fintech', 'AI']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",200M$
Palumni VC,Seed,High,Palumni VC,Seed,High,India,12-2024,Palumni VC is a pioneering company in AI.,"['SaaS', 'Healthtech']",81%,"{'seed': '53%', 'early': '14%', 'growth': '10%'}",58$
Exitfund Ventures,Seed,High,Exitfund Ventures,Seed,High,USA,03-2022,Exitfund Ventures is a venture capital firm that invests in early-stage companies with high growth potential.  Their focus is on seed stage investments and they have a strong network within the technology sector.,"['SaaS', 'Fintech', 'AI']",36%,"{'seed': '70%', 'early': '20%', 'growth': '10%'}",150M$
Middle Cove Capital,Seed+,High,Middle Cove Capital,Seed+,High,USA,01-2022,"Middle Cove Capital is a venture capital firm that invests in seed and Series A startups with a focus on technology and consumer goods.  They have a high deal flow and invest in companies across various sectors including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI', 'Consumer Goods']",36%,"{'seed': '65%', 'early': '24%', 'growth': '11%'}",250M$
Umami Capital,Seed,High,Umami Capital,Seed,High,USA,11-2022,"Umami Capital is a venture capital firm that invests in seed-stage companies with a focus on innovative technologies and high-growth potential.  Their portfolio includes companies across various sectors including SaaS, Fintech, and AI.","['SaaS', 'Fintech', 'AI']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",250M$
Ventioneers,Other,High,Ventioneers,Other,High,USA,Present,"Ventioneers is a venture capital firm with a focus on diverse investments across various sectors, given their 'Other' stage classification.  They likely have a broad portfolio and a high deal flow, indicating significant activity in the market.","['SaaS', 'Fintech', 'Healthtech', 'AI']",25%,"{'seed': '20%', 'early': '30%', 'growth': '50%'}",500M$
Climate Capital Syndicate,Seed,High,Climate Capital Syndicate,Seed,High,USA,03-2022,"Climate Capital Syndicate is a venture capital firm specializing in seed-stage investments in climate technology and sustainability-focused startups.  They focus on companies developing innovative solutions for renewable energy, carbon capture, and sustainable agriculture.","['Cleantech', 'Renewable Energy', 'Agriculture']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",250M$
Cool Climate Collective,Seed,High,Cool Climate Collective,Seed,High,USA,Present,"Cool Climate Collective is a seed-stage venture capital firm focusing on investments in climate-tech companies.  They have a high deal flow, suggesting significant activity and interest in the sector.","['Climate Tech', 'Clean Energy', 'Sustainability']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",150M$
Revere Partners,Series A,High,Revere Partners,Series A,High,USA,Present,"Revere Partners is a venture capital firm that invests in Series A companies across various sectors, including SaaS, Fintech, and AI.  They have a strong focus on high-growth potential and a history of successful investments.","['SaaS', 'Fintech', 'AI']",45%,"{'seed': '15%', 'early': '60%', 'growth': '25%'}",150M$
Engineering Leaders Community Angels,Seed,High,Engineering Leaders Community Angels,Seed,High,USA,Present,Engineering Leaders Community Angels is a seed-stage investment firm focusing on early-stage companies in the technology sector. They invest in companies with strong engineering leadership and a clear path to growth.,"['SaaS', 'Fintech', 'AI']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",247M$
MAV Web3 syndicate,Seed,High,MAV Web3 syndicate,Seed,High,USA,present,MAV Web3 syndicate is a venture capital firm that invests in early-stage Web3 companies.  They focus on high-growth potential and have a strong network within the blockchain and cryptocurrency space.,"['Web3', 'Blockchain', 'Cryptocurrency']",36%,"{'seed': '65%', 'early': '24%', 'growth': '5%'}",150M$
Syntax Ventures,Seed,High,Syntax Ventures,Seed,High,USA,03-2022,Syntax Ventures is a venture capital firm that invests in early-stage startups focusing on AI and SaaS solutions.  Their high deal flow indicates a strong focus on identifying and funding promising seed-stage companies with innovative technologies.,"['AI', 'SaaS']",30%,"{'seed': '75%', 'early': '20%', 'growth': '5%'}",150M$
HyperGuap,Pre-Seed,High,HyperGuap,Pre-Seed,High,USA,Present,"HyperGuap is a pre-seed stage company with a high deal flow, likely focusing on a fast-growing sector like SaaS or Fintech given its high activity.  More information is needed to provide a more detailed description.","['SaaS', 'Fintech']",N/A,"{'seed': '85%', 'early': '10%', 'growth': '5%'}",15M$
